item_name,item_brand,item_main_category,item_sub_category,Best_Profit_GBP_Per_Item,Best_Profit_Margin_Per_Item
beanie,Puma,Accessories,Scarves & Winter Hats & Gloves,3.4000000000000004,0.42500000000000004
eyeshadow,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,9.0,0.42500000000000004
wellies,Havaianas,Shoes & Bags,Shoes,8.0,0.42500000000000004
foundation,Pierre Cardin,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,1.7000000000000002,0.42500000000000004
basketball ,Nike,Accessories,Sports Equipment,1.7000000000000002,0.42500000000000004
baby shoes,Nike,Shoes & Bags,Shoes,4.3,0.42500000000000004
slippers,Kappa,Shoes & Bags,Shoes,3.4000000000000004,0.42500000000000004
lipstick,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,12.7,0.425
lifestyle shoes,Divarese,Shoes & Bags,Shoes,43.0,0.425
wrist bag,Pierre Cardin,Shoes & Bags,Bags,12.399999999999999,0.425
outdoor shoes,Pierre Cardin,Shoes & Bags,Shoes,15.899999999999999,0.425
body lotion,Shiseido,Cosmetics & Makeup & Selfcare,Selfcare,8.5,0.425
moisturiser,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,110.6,0.425
heeled shoes,Divarese,Shoes & Bags,Shoes,31.799999999999997,0.425
toner,Shiseido,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,17.0,0.425
slippers,Armani Exchange,Shoes & Bags,Flipflops & Slippers,27.6,0.42461538461538462
waist bag,Armani Exchange,Shoes & Bags,Bags,38.2,0.42444444444444446
